鄉鎮市區,交易標的,土地移轉總面積(平方公尺),使用分區或編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
鳳山區,房地(土地+建物),67,商,1041101,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,630524,150.4,6,1,3,有,無,無,26000,173,無,0,0,無
左營區,建物,80,住,1041028,土地0建物1車位0,全,3,透天厝,,700411,160.17,0,0,0,無,無,無,14000,87,無,0,0,無
左營區,建物,135,住,1041030,土地0建物1車位0,全,5,透天厝,住商用,960706,21.69,1,1,1,有,無,有,6000,277,無,0,0,無
左營區,房地(土地+建物),8.52,住,1041031,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住商用,950629,88.52,0,0,0,無,無,有,19000,215,無,0,0,無
新興區,房地(土地+建物),59,商,1041102,土地1建物1車位0,全,3,透天厝,,571101,156.24,0,0,0,無,無,有,30000,192,無,0,0,無
新興區,建物,0,,1041030,土地0建物1車位0,八層,10,辦公商業大樓,,651124,77.36,0,0,0,無,有,無,12000,155,無,0,0,無
鼓山區,房地(土地+建物),161.1,住,1041022,土地1建物1車位0,全,5,透天厝,住家用,921210,103.11,0,0,0,無,無,有,30000,291,無,0,0,無
小港區,房地(土地+建物),83,住,1041101,土地1建物1車位0,全,3,透天厝,,680629,160.4,3,2,3,有,無,無,22000,137,無,0,0,無
前鎮區,房地(土地+建物),189,商,1041101,土地1建物1車位0,全,3,透天厝,住商用,640726,460.32,2,2,4,有,無,有,71500,155,無,0,0,無
前鎮區,建物,0,商,1041018,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,941228,154.41,2,1,2,有,有,有,20000,130,坡道機械,28.48,0,無
前鎮區,房地(土地+建物),6.06,住,1041027,土地1建物1車位0,二十四層,27,住宅大樓(11層含以上有電梯),住家用,860527,153.7,4,2,2,有,有,有,15000,98,無,0,0,無
前鎮區,建物,0,,1041029,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,950302,203.87,4,2,2,有,有,有,19000,93,坡道平面,0,0,租金含家具家電及1個汽車位1個機車位
鼓山區,房地(土地+建物),7.65,住,1041101,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,950414,84.31,2,1,1,有,有,有,14594,173,無,0,0,無
新興區,建物,0,住,1041101,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,960413,139.36,3,2,2,有,無,有,20000,144,無,0,0,無
左營區,房地(土地+建物),24.88,住,1041027,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,940131,177.98,3,2,2,有,有,有,30000,169,無,0,0,無
左營區,房地(土地+建物)+車位,24.88,住,1041026,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,940131,179.39,3,2,2,有,有,有,30000,167,坡道平面,31.28,0,無
三民區,房地(土地+建物),11,住,1041101,土地1建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,850528,125.79,3,2,2,有,有,無,13000,103,無,0,0,無
三民區,建物,0,商,1041030,土地0建物1車位0,全,3,透天厝,,620130,107.91,0,0,0,無,無,無,50000,463,無,0,0,無
三民區,建物,0,商,1041102,土地0建物1車位0,全,2,透天厝,住家用,600427,120.94,2,2,2,有,無,無,18000,149,無,0,0,無
大寮區,房地(土地+建物),26,住,1041021,土地1建物1車位0,全,2,透天厝,住商用,600610,142.48,2,0,0,無,無,無,15000,105,無,0,0,租一樓前半段店面.以牆壁為界
新興區,房地(土地+建物),49.88,商,1041006,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),,640419,114.44,4,2,2,有,無,無,17000,149,無,0,0,無
三民區,房地(土地+建物),1491,住,1041020,土地1建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,821021,123.34,3,2,2,有,有,無,12000,97,無,0,0,無
左營區,建物,0,,1041031,土地0建物1車位0,一層,15,住宅大樓(11層含以上有電梯),住商用,960402,154.7,0,0,0,無,無,無,26000,168,無,0,0,無
苓雅區,建物,0,,1041031,土地0建物1車位0,全,4,透天厝,,630219,40.14,0,0,0,無,無,無,25000,623,無,0,0,無
苓雅區,建物,0,,1041005,土地0建物1車位0,全,3,透天厝,住商用,610609,183.18,0,0,0,無,無,無,30000,164,無,0,0,無
新興區,房地(土地+建物),9.04,商,1041016,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,910403,79.66,2,2,1,有,有,有,14500,182,無,0,0,無
前金區,房地(土地+建物),84,商,1041029,土地1建物1車位0,全,3,透天厝,,540715,226.39,0,0,0,無,無,無,52000,230,無,0,0,無
鼓山區,建物,10.11,,1041007,土地0建物1車位0,七層,20,住宅大樓(11層含以上有電梯),住家用,840302,119.09,3,2,2,有,有,無,14000,118,無,0,0,
前鎮區,建物,0,,1041025,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),,640505,183.68,0,0,0,無,無,無,95000,517,無,0,0,
前鎮區,建物,0,,1041028,土地0建物1車位0,七層,,住宅大樓(11層含以上有電梯),,,39.84,1,1,1,有,無,有,5500,138,無,0,0,
前鎮區,建物,0,,1041031,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,980722,86.78,2,1,1,有,無,無,15000,173,無,0,0,
前鎮區,建物,0,,1041005,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,640505,213.34,0,0,0,無,無,有,65000,305,無,0,0,
前鎮區,建物,0,,1041006,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,760922,159.19,0,0,0,無,無,無,30000,188,無,0,0,
鼓山區,房地(土地+建物),11.15,住,1041101,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,940616,87.7,2,2,1,有,有,有,14000,160,無,0,0,
鼓山區,建物,0,商,1041007,土地0建物1車位0,見其它登記事項,16,店面(店鋪),住商用,841011,106,0,0,0,無,有,無,40000,377,無,0,0,
苓雅區,房地(土地+建物),15.9,住,1041101,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),,690129,59.85,1,2,1,有,無,無,13000,217,無,0,0,
楠梓區,建物,19.09,,1040923,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,1030708,119.66,2,2,1,有,無,有,15000,125,坡道平面,0,0,租金含管理費，不含水電瓦斯費，網路第四台由承租人自行申裝繳費。租屋不得違法使用，如有違法及擾鄰，合約解除，沒收押金。
三民區,房地(土地+建物),20.13,住,1041104,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,830121,117,3,2,2,有,有,有,10000,85,無,0,0,
左營區,建物,26.6,住,1041028,土地0建物1車位0,十六層,28,住宅大樓(11層含以上有電梯),住家用,1030704,314.88,4,2,2,有,無,有,56500,179,無,0,0,
苓雅區,建物,0,,1041101,土地0建物1車位0,九層,12,辦公商業大樓,,781109,43.24,0,0,0,無,有,無,7000,162,無,0,0,
前鎮區,房地(土地+建物),2.28,商,1041016,土地1建物1車位0,四層,20,住宅大樓(11層含以上有電梯),住家用,831001,38.5,1,1,1,有,有,有,6500,169,無,0,0,
前鎮區,建物,0,,1041008,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,941228,143.88,3,2,2,有,有,有,20500,142,坡道機械,10.72,0,
前鎮區,房地(土地+建物),25.29,住,1041106,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),,741213,82.92,3,2,1,有,無,有,13500,163,無,0,0,
前鎮區,建物,0,,1041023,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,730412,88.43,3,2,2,有,無,無,8000,90,無,0,0,
鼓山區,房地(土地+建物)+車位,17.64,住,1041012,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,960510,134.62,3,2,2,有,有,有,23000,171,坡道平面,0,0,
苓雅區,房地(土地+建物),8.68,住,1041107,土地1建物1車位0,七層,17,住宅大樓(11層含以上有電梯),,780114,102.28,3,2,1,有,有,有,15000,147,無,0,0,
苓雅區,房地(土地+建物),84,商,1041101,土地1建物1車位0,全,4,透天厝,,630814,297.45,0,0,0,無,無,無,27000,91,無,0,0,
楠梓區,房地(土地+建物),125,住,1041104,土地1建物1車位0,全,2,透天厝,,690815,97.98,4,2,2,有,無,無,12000,122,無,0,0,
左營區,房地(土地+建物),6.21,住,1041013,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,1031104,85.42,1,1,1,有,有,有,17500,205,無,0,0,
三民區,建物,29.39,住,1041026,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),,750128,95.29,3,2,2,有,無,無,10000,105,無,0,0,續約
三民區,建物,0,商,1041106,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),,780403,156.8,2,1,1,有,有,無,12000,77,無,0,0,
苓雅區,建物,0,商,1041027,土地0建物1車位0,十五層,35,住宅大樓(11層含以上有電梯),住家用,860421,113.39,3,2,2,有,有,有,11000,97,無,0,0,
苓雅區,建物,0,,1041031,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,680628,63.78,3,2,1,有,無,無,6000,94,無,0,0,
前金區,房地(土地+建物),2.89,商,1041105,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,850506,34.9,1,1,1,有,有,有,6500,186,無,0,0,
前鎮區,房地(土地+建物),4.58,其他,1041104,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,830809,20.86,3,2,2,有,無,有,14500,695,無,0,0,
鼓山區,房地(土地+建物)+車位,89.61,住,1041101,土地1建物1車位1,十七層,27,住宅大樓(11層含以上有電梯),住家用,971014,341.72,4,2,3,有,有,有,80000,234,坡道平面,26.38,0,
前金區,房地(土地+建物),6.76,商,1041106,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,870804,87.69,2,1,1,有,有,有,11000,125,無,0,0,
新興區,建物,0,商,1041111,土地0建物1車位0,六層,11,辦公商業大樓,,790818,208.44,0,0,0,無,有,無,22000,106,無,0,0,
左營區,房地(土地+建物)+車位,28.16,住,1041110,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,890623,207.11,3,2,2,有,有,有,28000,135,坡道平面,0,0,
左營區,房地(土地+建物),6.55,商,1041101,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,1031104,91.36,2,2,1,有,有,有,22000,241,無,0,0,
左營區,房地(土地+建物),7.68,商,1041104,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,1031104,85.42,1,1,1,有,有,有,24000,281,無,0,0,
左營區,房地(土地+建物),8.28,商,1041106,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,1030327,114.59,2,2,1,有,有,有,22000,192,無,0,0,
鳳山區,房地(土地+建物),30.23,其他,1041110,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,710430,73.65,3,2,2,有,無,無,7000,95,無,0,0,
左營區,房地(土地+建物),127,住,1041107,土地1建物1車位0,全,5,透天厝,住家用,950817,294.86,6,3,7,有,無,無,65000,220,無,0,0,
前鎮區,建物,0,住,1041030,土地0建物1車位1,二十八層,29,住宅大樓(11層含以上有電梯),住家用,970307,272.21,3,2,2,有,有,無,35000,129,坡道平面,14.77,0,
三民區,房地(土地+建物),37.72,住,1041107,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),住商用,831124,182.72,2,1,3,有,有,無,13500,74,無,0,0,
三民區,房地(土地+建物),12.65,住,1041112,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,860709,122.2,3,2,2,有,有,無,10000,82,無,0,0,
三民區,房地(土地+建物),62,商,1041112,土地1建物1車位0,全,3,透天厝,住商用,581111,159.06,3,2,2,有,無,無,20000,126,無,0,0,
左營區,房地(土地+建物),103,住,1041113,土地1建物1車位0,全,4,透天厝,住商用,860203,51.51,1,0,0,無,無,無,15000,291,無,0,0,
左營區,房地(土地+建物),103,住,1041106,土地1建物1車位0,全,4,透天厝,住商用,860203,17,1,0,1,有,無,有,5000,294,無,0,0,
前金區,建物,0,住,1041113,土地0建物1車位0,十二層,12,辦公商業大樓,住家用,850506,84.68,1,1,1,有,有,有,8000,94,無,0,0,
鼓山區,建物,0,商,1041109,土地0建物1車位0,見其它登記事項,5,公寓(5樓含以下無電梯),,700425,102.21,3,2,2,有,無,無,17000,166,無,0,0,
鼓山區,房地(土地+建物)+車位,10.55,住,1041031,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,950407,80.02,3,2,2,有,有,有,17000,212,坡道機械,4.83,0,含管理費
苓雅區,建物,0,商,1041112,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,661110,52.15,1,1,1,有,無,有,5000,96,無,0,0,
前鎮區,房地(土地+建物),607,住,1041110,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),,670715,50.02,3,2,2,有,無,有,9000,180,無,0,0,
三民區,房地(土地+建物),76,住,1041105,土地1建物1車位0,見其他登記事項,3,店面(店鋪),,730921,187.7,4,1,3,有,無,無,24000,128,無,0,0,
三民區,房地(土地+建物),162.88,住,1041106,土地2建物1車位0,一層,5,店面(店鋪),住家用,1030501,162.01,0,0,0,無,無,無,56000,346,無,0,0,租賃1+2樓
鳳山區,建物,18.13,住,1041113,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,830628,128.31,3,2,2,有,無,無,15000,117,無,0,0,
三民區,房地(土地+建物)+車位,5.93,商,1041020,土地1建物1車位1,四層,16,住宅大樓(11層含以上有電梯),住家用,850729,81.55,2,1,1,有,有,無,6500,80,坡道機械,0,0,
三民區,建物,12.05,商,1041102,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,820320,150.87,4,2,2,有,有,無,13000,86,無,0,0,
三民區,房地(土地+建物),12.52,住,1041020,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,860709,120.51,3,2,2,有,有,無,9000,75,無,0,0,
左營區,房地(土地+建物)+車位,18.91,商,1041019,土地1建物1車位1,三十層,35,住宅大樓(11層含以上有電梯),住家用,1031210,336.76,4,2,3,有,有,有,55000,163,坡道平面,20.02,0,
左營區,房地(土地+建物),4,商,1041113,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,1030327,110.58,2,1,1,有,有,有,22000,199,無,0,0,
楠梓區,房地(土地+建物)+車位,620.79,住,1040916,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,1031027,135.92,3,2,2,有,無,有,19000,140,坡道機械,6.24,0,
左營區,房地(土地+建物),1943,工,1041116,土地1建物1車位0,見其它登記事項,1,廠辦,,630219,711.24,0,0,0,無,無,無,106000,149,無,0,0,
左營區,房地(土地+建物)+車位,26.6,住,1041028,土地1建物1車位1,十六層,28,住宅大樓(11層含以上有電梯),住家用,1030704,314.88,4,2,2,有,有,有,63000,200,坡道平面,0,0,
前鎮區,房地(土地+建物),20.66,住,1041113,土地1建物1車位0,六層,9,住宅大樓(11層含以上有電梯),住家用,950227,104.79,2,2,2,有,有,有,18000,172,無,0,0,
前鎮區,房地(土地+建物)+車位,16.81,住,1041113,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,950314,174.21,3,2,2,有,有,有,20000,115,坡道平面,0,0,
鼓山區,房地(土地+建物),90.5,住,1041116,土地1建物1車位0,全,4,透天厝,住家用,950104,213.85,4,2,4,有,無,無,25000,117,無,0,0,
鼓山區,房地(土地+建物),88,住,1041020,土地1建物1車位0,全,5,透天厝,住商用,990908,283.5,4,2,4,有,無,有,65000,229,無,0,0,
鼓山區,房地(土地+建物),20.96,住,1041108,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,930805,43.61,3,2,2,有,有,有,20000,459,無,0,0,
鼓山區,房地(土地+建物),69,住,1041112,土地1建物1車位0,全,3,透天厝,,751208,175,3,2,3,有,無,無,18000,103,無,0,0,
苓雅區,建物,0,,1041113,土地0建物1車位0,全,3,透天厝,,620511,58.42,0,0,0,無,無,無,21000,359,無,0,0,
苓雅區,房地(土地+建物),6.25,商,1041113,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,1031030,82.73,2,1,1,有,有,有,17996,218,無,0,0,
左營區,房地(土地+建物),19.4,住,1041118,土地1建物1車位0,見其它登記事項,8,華廈(10層含以下有電梯),住商用,860821,128.31,3,2,2,有,無,有,15000,117,無,0,0,
鳥松區,房地(土地+建物),104,住,1041029,土地1建物1車位0,全,4,透天厝,住家用,760302,211.05,4,3,2,有,無,無,35000,166,無,0,0,
三民區,建物,0,商,1041118,土地0建物1車位1,三層,9,辦公商業大樓,,791211,168.5,0,0,0,無,有,無,20000,119,坡道機械,0,0,租金含車位一個
左營區,建物,0,,1031206,土地0建物0車位0,五層,5,套房(1房1廳1衛),住商用,830829,33,1,1,1,有,無,有,5000,152,無,0,0,
苓雅區,房地(土地+建物),24,商,1041106,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),,690811,80.28,3,2,2,有,無,有,10000,125,無,0,0,
苓雅區,房地(土地+建物),3.83,住,1041020,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,960508,46.02,1,1,1,有,有,有,12000,261,無,0,0,
鼓山區,房地(土地+建物),50.09,住,1041105,土地1建物1車位0,一層,1,店面(店鋪),住商用,970908,69.25,3,2,1,有,無,無,100000,1444,無,0,0,
鼓山區,房地(土地+建物),5.76,住,1041022,土地1建物1車位0,十八層,19,住宅大樓(11層含以上有電梯),住家用,841129,74.43,4,2,2,有,無,有,24600,331,無,0,0,
前鎮區,房地(土地+建物),7.62,住,1041020,土地1建物2車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,1000125,97.48,2,1,1,有,有,有,17000,174,無,0,0,租金17000元包含管理費
苓雅區,房地(土地+建物),74,商,1041116,土地1建物1車位0,全,3,透天厝,,620425,1872.2,0,3,0,有,無,無,25000,13,無,0,0,
左營區,房地(土地+建物),681.52,住,1041120,土地1建物1車位0,全,3,透天厝,住家用,901106,639.39,0,0,0,無,無,無,150000,235,無,0,0,
三民區,建物,95,住,1041113,土地0建物1車位0,全,4,透天厝,住商用,950125,225.28,0,0,0,無,無,無,32000,142,無,0,0,
左營區,房地(土地+建物),247.93,住,1041116,土地1建物1車位0,一層,1,店面(店鋪),住商用,780717,337.08,0,0,0,無,無,無,120000,356,無,0,0,
左營區,建物,0,商,1041026,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,920811,117.31,3,2,2,有,有,有,18000,153,無,0,0,
三民區,建物,60.71,住,1041110,土地0建物1車位0,七層,12,辦公商業大樓,,800301,504.32,0,0,0,無,有,無,48000,95,無,0,0,
三民區,房地(土地+建物),82,住,1041116,土地1建物1車位0,全,3,透天厝,住家用,541125,255.89,4,3,3,有,無,無,30000,117,無,0,0,
三民區,房地(土地+建物),108,商,1041124,土地1建物1車位0,一層,5,店面(店鋪),住商用,960607,62.74,0,2,1,有,無,無,20000,319,無,0,0,
三民區,建物,34.9,商,1041110,土地0建物1車位0,全,2,透天厝,住商用,570108,53.03,3,2,4,有,無,有,16000,302,無,0,0,
左營區,房地(土地+建物),6.64,住,1041121,土地1建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,850625,93.42,2,2,1,有,無,有,12000,128,無,0,0,
左營區,房地(土地+建物),21.57,商,1041111,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,1031104,100.43,2,1,1,有,有,有,23000,229,無,0,0,
左營區,房地(土地+建物),29,住,1041117,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,741129,107.34,3,2,2,有,無,有,10000,93,無,0,0,
左營區,房地(土地+建物)+車位,19.8,商,1041112,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,1000616,232.23,3,2,2,有,有,有,25000,108,坡道平面,21.69,0,
左營區,房地(土地+建物),84,住,1041124,土地1建物1車位0,全,5,透天厝,,680411,117.64,0,0,0,無,無,無,17000,145,無,0,0,
三民區,建物,0,商,1041116,土地0建物1車位0,十六層,21,住宅大樓(11層含以上有電梯),住家用,840615,32.6,1,1,1,有,有,有,6000,184,無,0,0,"租金含(管理費,網路費)"
三民區,建物,0,住,1041111,土地0建物1車位0,二層,2,倉庫,住家用,960126,100.31,0,1,1,有,無,無,6000,,無,0,0,
大寮區,建物,94.59,住,1041124,土地0建物1車位0,全,4,透天厝,住商用,930412,178.78,4,2,3,有,無,有,17500,98,無,0,0,
前鎮區,房地(土地+建物),78.43,商,1041117,土地1建物1車位0,全,4,透天厝,,690808,211.36,0,0,0,無,無,無,27000,128,無,0,0,
前鎮區,建物,0,商,1041118,土地0建物1車位0,十七層,,住宅大樓(11層含以上有電梯),,,154.81,3,2,2,有,有,有,18127,117,無,0,0,
前金區,房地(土地+建物),3.89,住,1041026,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,840821,50.35,2,1,1,有,無,有,10000,199,無,0,0,
新興區,房地(土地+建物),5.46,商,1041119,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,1020110,67.16,1,2,1,有,有,有,15000,223,無,0,0,
苓雅區,建物,0,商,1041123,土地0建物1車位0,全,2,透天厝,,551223,98.36,0,0,0,無,無,無,10500,107,無,0,0,
苓雅區,建物,0,商,1041110,土地0建物0車位0,見其他登記事項,5,店面(店鋪),,690105,182.4,0,3,0,有,無,無,27000,148,無,0,0,"租金分段:第1年27000元,第2年28350元"
苓雅區,建物,0,商,1041118,土地0建物1車位0,二十層,35,住宅大樓(11層含以上有電梯),住家用,860421,145.12,3,2,2,有,有,有,14465,100,無,0,0,
左營區,房地(土地+建物),11.04,商,1041110,土地1建物1車位0,一層,16,住宅大樓(11層含以上有電梯),住商用,840428,137.09,2,2,2,有,有,無,22000,160,無,0,0,
三民區,房地(土地+建物),27.53,住,1041031,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住商用,871102,197.8,4,2,3,有,有,無,17000,86,無,0,0,出租1-3樓(不含閣樓)
前鎮區,房地(土地+建物),98.28,住,1041028,土地1建物1車位0,全,2,透天厝,,650223,98.28,2,2,2,有,無,有,12000,122,無,0,0,
前金區,房地(土地+建物),413,商,1041125,土地1建物1車位0,四層,12,套房(1房1廳1衛),,770606,1098.86,1,1,1,有,有,有,9000,8,無,0,0,
鼓山區,房地(土地+建物)+車位,76.4,住,1041110,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,880930,76.4,2,1,1,有,有,有,14000,183,升降機械,0,0,
鼓山區,房地(土地+建物),117,商,1041121,土地1建物1車位0,見其它登記事項,3,店面(店鋪),,660326,225.81,4,3,3,有,無,有,16000,71,無,0,0,
三民區,房地(土地+建物),36.3,住,1041101,土地1建物1車位0,五層,12,套房(1房1廳1衛),住家用,851002,36.3,1,1,1,有,有,有,5500,152,無,0,0,
三民區,房地(土地+建物),15.64,商,1041125,土地1建物1車位0,見其他登記事項,14,辦公商業大樓,住商用,870122,191.7,1,1,2,有,有,無,26000,136,無,0,0,
左營區,房地(土地+建物),84.55,住,1041126,土地1建物1車位0,全,4,透天厝,住家用,910820,206.23,5,2,4,有,無,有,33000,160,無,0,0,
左營區,房地(土地+建物),11.65,住,1041116,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,820601,64.08,1,1,1,有,有,有,9300,145,無,0,0,
三民區,房地(土地+建物),50.95,商,1041116,土地1建物1車位0,全,3,透天厝,住家用,581020,93.71,4,2,1,有,無,無,12000,128,無,0,0,
鳳山區,建物,0,商,1041110,土地0建物1車位0,全,3,透天厝,住商用,690830,148.57,0,0,3,有,無,無,12000,81,無,0,0,
鳳山區,建物,0,,1041030,土地0建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,840510,139.68,3,2,2,有,無,有,13500,97,無,0,0,
岡山區,房地(土地+建物),87.8,住,1041125,土地1建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住商用,950512,441.16,0,0,0,無,有,無,50000,113,無,0,0,"105年1月1日~107年12月31日,每年租金624800元(含稅金額)108年1月1日~109年12月31日,每年租金643500元(含稅金額)"
仁武區,房地(土地+建物),184.58,住,1041125,土地2建物1車位0,全,4,透天厝,住商用,830318,192.15,6,2,4,有,無,有,25000,130,無,0,0,
鼓山區,建物,540,住,1041110,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,731226,75.23,3,2,2,有,無,有,8000,106,無,0,0,
新興區,房地(土地+建物),2.99,商,1041113,土地1建物1車位0,九層,12,套房(1房1廳1衛),,710613,36.67,1,1,1,有,有,有,7000,191,無,0,0,
苓雅區,房地(土地+建物),6.2,商,1041110,土地1建物1車位0,十一層,35,住宅大樓(11層含以上有電梯),住家用,860421,145.13,3,2,2,有,有,有,12500,86,無,0,0,租金含管理費1535元
苓雅區,房地(土地+建物),68,商,1041101,土地1建物1車位0,全,3,透天厝,,620106,175.8,0,0,0,無,無,無,30000,171,無,0,0,
前鎮區,房地(土地+建物),94,商,1041110,土地1建物1車位0,全,3,透天厝,住商用,640410,62.56,0,0,0,無,無,無,17000,272,無,0,0,
苓雅區,房地(土地+建物),53,商,1041001,土地1建物1車位0,全,3,透天厝,,630410,48.44,0,0,0,無,無,無,12000,248,無,0,0,
苓雅區,建物,0,商,1041127,土地0建物1車位0,全,3,透天厝,,630910,220.32,0,0,0,無,無,無,27000,123,無,0,0,"本標的承租方使用1~3樓,增建的4樓供屋主使用。"
苓雅區,房地(土地+建物),84,住,1041127,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,861107,112.79,0,2,1,有,無,無,45000,399,無,0,0,
岡山區,建物,97,住,1041124,土地0建物1車位0,全,4,透天厝,住商用,770919,68.8,0,0,0,無,無,無,9000,131,無,0,0,
橋頭區,房地(土地+建物),71.08,商,1041124,土地1建物1車位0,全,2,透天厝,住商用,651201,93.44,0,0,1,有,無,有,8000,86,無,0,0,
鳳山區,建物,75,住,1041127,土地0建物1車位0,全,5,透天厝,住商用,681230,47.72,0,0,0,無,無,無,25000,524,無,0,0,
三民區,房地(土地+建物),58.77,住,1041120,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),住商用,831124,44.75,3,0,0,無,有,無,10000,223,無,0,0,
三民區,建物,0,商,1041121,土地0建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,990401,146.74,3,2,2,有,有,有,23000,157,坡道平面,26.34,0,
左營區,房地(土地+建物),85.36,商,1041115,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,1030327,85.36,1,2,1,有,有,有,18000,211,無,0,0,
左營區,房地(土地+建物),6.69,商,1041127,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,1030327,85.36,2,2,1,有,有,有,18000,211,無,0,0,
新興區,房地(土地+建物),78.46,住,1041101,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,1040306,78.46,2,1,1,有,有,有,22000,280,無,0,0,
苓雅區,建物,0,,1041114,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,661110,53.35,2,1,1,有,無,有,10000,187,無,0,0,
苓雅區,房地(土地+建物),18.89,商,1041119,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,871217,203.92,4,2,2,有,無,有,37000,181,無,0,0,
新興區,建物,47.34,商,1041128,土地0建物1車位0,地下一層,12,辦公商業大樓,,710925,211.97,0,0,1,有,無,有,28000,132,無,0,0,
苓雅區,房地(土地+建物),25.6,住,1041113,土地4建物3車位0,見其他登記事項,7,華廈(10層含以下有電梯),,771102,81.86,2,2,2,有,無,無,15000,183,無,0,0,
