鄉鎮市區,交易標的,土地移轉總面積(平方公尺),使用分區或編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
鼓山區,房地(土地+建物),7.55,商,1050304,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,1001007,83.5,2,1,1,有,有,有,18000,216,無,0,0,
鼓山區,房地(土地+建物)+車位,16.1,商,1050308,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,1020522,245.98,3,2,2,有,有,有,47000,191,坡道平面,23.17,0,
前鎮區,房地(土地+建物),7.85,商,1050226,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,1000125,78.95,1,1,1,有,有,有,18000,228,無,0,0,
苓雅區,房地(土地+建物)+車位,32.16,商,1050228,土地2建物1車位2,十五層,27,住宅大樓(11層含以上有電梯),住家用,981109,309.05,4,2,3,有,有,有,60000,194,坡道平面,44.22,0,
新興區,房地(土地+建物),15.77,商,1050309,土地1建物1車位0,六層,12,辦公商業大樓,,701005,170.07,3,2,2,有,無,無,18000,106,無,0,0,
苓雅區,房地(土地+建物),80,住,1050312,土地1建物1車位0,全,3,透天厝,,670228,163.44,3,2,3,有,無,無,17000,104,無,0,0,
苓雅區,建物,0,住,1050313,土地0建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),,780310,200.6,2,1,2,有,有,無,23000,115,無,0,0,
前鎮區,房地(土地+建物),75.82,住,1050303,土地1建物1車位0,全,4,透天厝,住商用,960312,198.97,4,2,4,有,無,無,30000,151,無,0,0,
前金區,房地(土地+建物),19.74,商,1050312,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,840821,164.29,3,2,2,有,無,有,12650,77,無,0,0,
林園區,房地(土地+建物),64.79,住,1050304,土地1建物1車位0,全,3,透天厝,住家用,810115,142.27,4,2,2,有,無,無,8000,56,無,0,0,
新興區,建物,0,商,1041207,土地0建物1車位0,全,4,透天厝,,710510,326.54,0,0,0,無,無,無,48000,147,無,0,0,
楠梓區,建物,0,,1050306,土地0建物0車位0,四層,7,套房(1房1廳1衛),住家用,841222,30.85,4,1,4,有,無,有,4000,130,無,0,0,
左營區,房地(土地+建物),35.06,商,1050226,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住商用,851118,168.71,3,1,1,有,有,無,18000,107,無,0,0,1-3樓出租
左營區,房地(土地+建物),153.16,住,1050315,土地1建物1車位0,全,5,透天厝,住商用,960326,478.35,7,2,5,有,無,有,58000,121,無,0,0,
鼓山區,房地(土地+建物),30.57,住,1050313,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),,700425,120.23,0,0,0,無,無,無,15000,125,無,0,0,
鹽埕區,房地(土地+建物),154,商,1050311,土地1建物1車位0,一層,5,店面(店鋪),住商用,830531,112.65,1,1,1,有,無,無,40000,355,無,0,0,
鼓山區,房地(土地+建物)+車位,15.28,住,1050301,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,1020604,144.72,3,2,2,有,有,有,25903,179,坡道平面,19.34,0,
鼓山區,房地(土地+建物),12.72,商,1050309,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,940804,122.13,3,2,2,有,有,有,18000,147,無,0,0,
前鎮區,建物,0,住,1050314,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),,720603,101.2,3,2,2,有,有,有,10000,99,無,0,0,
前鎮區,房地(土地+建物),2.22,商,1050311,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,941228,80.3,2,2,1,有,有,有,14000,174,無,0,0,
新興區,房地(土地+建物),82,商,1050314,土地1建物1車位0,全,1,透天厝,,470515,40.77,0,0,0,無,無,無,10000,245,無,0,0,
苓雅區,建物,0,商,1050312,土地0建物1車位0,十一層,12,辦公商業大樓,,770805,188.76,0,0,0,無,有,無,19900,105,無,0,0,
苓雅區,房地(土地+建物),197.91,住,1050309,土地2建物2車位0,一層,7,店面(店鋪),,771212,259.92,0,0,0,無,無,無,70000,269,無,0,0,
苓雅區,房地(土地+建物),63.43,商,1050315,土地1建物1車位0,四層,12,辦公商業大樓,,790321,673.12,0,0,0,無,無,無,45000,67,無,0,0,
新興區,建物,10.05,商,1050314,土地0建物1車位0,九層,10,住宅大樓(11層含以上有電梯),,770615,154.93,3,2,2,有,有,有,16000,103,無,0,0,
前鎮區,建物,0,商,1050226,土地0建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,941228,80.05,2,1,1,有,有,有,15000,187,無,0,0,
鼓山區,房地(土地+建物)+車位,21.41,住,1050315,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,1010921,193.62,4,2,2,有,有,有,19000,98,坡道平面,25.63,0,
鼓山區,建物,16.41,住,1050315,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,951030,81.34,2,1,1,有,有,無,10000,123,無,0,0,
三民區,房地(土地+建物),1002,住,1050315,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),,700424,109.57,3,2,2,有,無,有,12000,110,無,0,0,
三民區,建物,0,商,1050309,土地0建物1車位0,三層,25,店面(店鋪),住商用,810514,137.54,0,0,0,無,有,無,63000,458,無,0,0,
鼓山區,房地(土地+建物)+車位,15.04,住,1050315,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,1020604,196.23,4,2,2,有,有,無,29000,148,坡道平面,16.62,0,
前鎮區,房地(土地+建物),548.42,其他,1050308,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住商用,890802,406.86,0,0,0,無,無,無,38500,95,無,0,0,1-2樓含管理費、稅金或水電等費用。
新興區,房地(土地+建物),40,商,1050229,土地1建物1車位0,全,3,透天厝,住商用,591127,100.7,3,2,3,有,無,無,18000,179,無,0,0,
