三民區,房地(土地+建物),高雄市三民區大港街1~30號,60.37,商,1050804,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,561009,88.53,0,0,0,無,無,無,15000,169,,0,0,,RPROMLPJQHLFFDE78CC
岡山區,房地(土地+建物),高雄市岡山區介壽西路61~90號,3.34,住,1050804,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810601,27.62,2,1,1,有,無,無,5000,181,,0,0,,RPSNMLPJQHLFFFE98CC
岡山區,房地(土地+建物),高雄市岡山區仁壽路211~240號,128,住,1050805,土地2建物2車位0,全,3,透天厝,住家用,加強磚造,621231,65.2,0,2,2,有,無,無,18000,276,,0,0,共二個門牌號,RPTNMLPJQHLFFFE56DC
鳳山區,建物,高雄市鳳山區八德路151~180號,26.19,住,1050805,土地0建物1車位0,見其他登記事項,13,店面(店鋪),住商用,鋼筋混凝土造,871210,206.8,3,2,3,有,無,有,20000,97,,0,0,,RPQNMLQJQHLFFGE98CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中華五路1411~1440號,16.76,商,1050806,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950314,150.03,3,2,2,有,無,有,20000,133,坡道平面,24.17,0,,RPQNMLQJQHLFFCE58CC
旗津區,房地(土地+建物),高雄市旗津區旗津三路301~330號,316,商,1050801,土地1建物1車位0,一層,2,店面(店鋪),住商用,鋼筋混凝土造,980109,116.87,0,0,0,無,無,無,45000,385,,0,0,,RPPNMLQJQHLFFAE28CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕國街331~360號,13.03,住,1050711,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931104,80.61,2,1,1,有,有,有,16500,205,坡道平面,18.63,0,,RPXOMLSJQHLFFAE76CC
前鎮區,房地(土地+建物),高雄市前鎮區景德路1~30號,46.8,住,1050806,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700923,78.86,2,1,2,有,無,有,29000,368,,0,0,公寓一樓含夾層,RPRNMLSJQHLFFCE88CC
前鎮區,房地(土地+建物),高雄市前鎮區中山二路181~210號,5.94,住,1050805,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000125,78.25,1,1,1,有,無,有,20000,256,,0,0,,RPVNMLSJQHLFFCE66CC
鳳山區,房地(土地+建物),高雄市鳳山區光復路一段91~120號,21.61,住,1050805,土地1建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880308,131.45,2,2,1,有,有,有,10000,76,,0,0,,RPPOMLSJQHLFFGE56CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳南路121~150號,67,住,1050808,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,加強磚造,620615,102.97,0,0,0,無,無,無,23000,223,,0,0,,RPUOMLSJQHLFFGE07CC
旗山區,房地(土地+建物),高雄市旗山區泰安街61~90號,63.57,商,1050805,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,761228,154.35,3,1,1,有,無,無,8000,52,,0,0,整棟出租.1層及2層較有使用.3層使用機率較少,RPRNMLSJQHLFFHE86DC
旗山區,房地(土地+建物),高雄市旗山區泰安街61~90號,63.65,商,1050805,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,761228,154.35,4,1,1,有,無,無,8000,52,,0,0,整棟出租.1層及2層較有使用.3層使用機率較少,RPSNMLSJQHLFFHE96DC
大社區,房地(土地+建物),高雄市大社區大社里中山路211~240號,99,住,1050712,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,650607,181.6,3,1,3,有,無,有,36000,198,,0,0,1050712-1050731免租裝潢期1050801-1060731租金每月360001060801-1070731租金每月380001070801-1090731租金每月400001090801-1110731租金每月420001110801-1130731租金每月440001130801-1150731租金每月45000,RPSNMLTJQHLFFIE07CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路241~270號,15.04,商,1050810,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020604,196.29,3,2,2,有,有,無,28000,143,坡道平面,16.59,0,,RPTNMLKKQHLFFAE18CC
前金區,房地(土地+建物),高雄市前金區河南二路151~180號,13.3,住,1050801,土地1建物1車位0,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841219,143.58,3,2,2,有,有,有,23000,160,,0,0,,RPUNMLKKQHLFFAE28CC
